,zpid,zipcode,yearBuilt,resoFacts.taxAnnualAmount,livingAreaValue,longitude,resoFacts.garageSpaces,schoolMaxRating,latitude,daysOnZillow,resoFacts.isSeniorCommunity,lotAreaValue,bathrooms,resoFacts.hasWaterfrontView,zestimate,schoolMinDistance,bedrooms,price/sqft,cityId_124815,cityId_125641,cityId_13560,cityId_13752,cityId_14563,cityId_19307,cityId_19341,cityId_20367,cityId_25911,cityId_32805,cityId_39760,cityId_398464,cityId_44434,cityId_46375,cityId_51467,cityId_52625,cityId_53787,cityId_56330,cityId_7433,zipcode_32780,zipcode_32796,zipcode_32901,zipcode_32903,zipcode_32904,zipcode_32905,zipcode_32907,zipcode_32908,zipcode_32909,zipcode_32920,zipcode_32922,zipcode_32926,zipcode_32927,zipcode_32931,zipcode_32934,zipcode_32935,zipcode_32937,zipcode_32940,zipcode_32949,zipcode_32950,zipcode_32951,zipcode_32952,zipcode_32953,zipcode_32955,zipcode_32976,price,predPrice_linear,priceDiff_linear,predPrice_RandFor,priceDiff_RandFor,predPrice_XGBoost,priceDiff_XGBoost,predPrice_ensemble,priceDiff_ensemble
10,43517006.0,32909,1988,3223.0,1056.0,-80.63621,2.0,5.0,27.951279,121.0,0,10454.4,2.0,0,170500.0,0.4,2.0,169.50757575757575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.095146671399466,12.545269011045878,0.4501223396464127,12.429697016529442,0.3345503451299763,12.488183,0.3930363501459446,12.458940019037426,0.36379334763796045
11,339966937.0,32780,1991,1911.0,962.0,-80.83099,0.0,3.0,28.558084,20.0,0,2178.0,2.0,0,169800.0,0.7,2.0,186.59043659043655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.097936057925594,12.228478739230033,0.1305426813044388,12.206894418100012,0.10895836017441773,12.109982,0.012045478939640475,12.158437977482624,0.06050191955702999
12,43383274.0,32780,1960,1954.0,704.0,-80.82003,0.0,6.0,28.56023,48.0,0,7405.2,1.0,0,168000.0,1.3,2.0,255.53977272727272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.100161978566868,12.200473899710808,0.10031192114393939,12.294975973788919,0.19481399522205045,12.119617,0.019455483591334755,12.207296717973561,0.1071347394066926
13,153632688.0,32922,1959,2153.0,1536.0,-80.73816,0.0,5.0,28.354647,4.0,0,12196.999999999998,2.0,0,177000.0,0.8,4.0,117.12239583333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.100161978566868,12.312431047449687,0.2122690688828186,12.397933569413574,0.2977715908467058,12.402255,0.30209307972170585,12.400094313851074,0.2999323352842058
14,43384195.0,32780,1958,637.0,1720.0,-80.80818,0.0,2.0,28.563337,40.0,0,9583.2,2.0,0,167100.0,1.7,3.0,104.65116279069768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.100717685412471,12.403489495872227,0.3027718104597561,12.425675276386597,0.324957590974126,12.411477,0.3107594035157515,12.41857618265741,0.31785849724493964
15,43497327.0,32905,1969,2050.0,1199.0,-80.58081,0.0,4.0,28.018171,8.0,0,10018.8,1.0,0,173300.0,0.5,2.0,150.12510425354463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.100717685412471,12.252295030925222,0.15157734551275048,12.285750947328218,0.18503326191574665,12.268595,0.1678770564088179,12.277172844574753,0.17645515916228227
16,43521981.0,32976,1979,2380.0,1048.0,-80.53021,0.0,8.0,27.881369,1.0,0,3920.0,2.0,0,180000.0,1.9,2.0,171.75572519083968,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.100717685412471,12.547503555851318,0.44678587043884654,12.580153053933572,0.47943536852110036,12.605994,0.5052765391358687,12.593073639240956,0.4923559538284845
17,54621122.0,32976,1987,2712.0,1152.0,-80.51654,0.0,3.0,27.87438,22.0,0,3920.4,2.0,0,171600.0,3.2,2.0,157.98611111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.111767460549332,12.497204445727355,0.38543698517802305,12.72720813563879,0.6154406750894577,12.564028,0.4522603257055504,12.645617960946836,0.533850500397504
18,43491373.0,32901,1959,1115.0,832.0,-80.610275,1.0,4.0,28.065056,60.0,0,4791.6,1.0,0,173800.0,0.9,3.0,222.35576923076923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.128116509451258,12.275964977926833,0.14784846847557453,12.209699234667143,0.08158272521588472,12.234879,0.10676203058780409,12.222288887353102,0.09417237790184352
19,43493145.0,32901,1967,1373.0,1444.0,-80.617485,0.0,2.0,28.046734,5.0,0,7405.2,2.0,0,181200.0,5.3,4.0,128.1163434903047,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.128116509451258,12.383318459407587,0.2552019499563283,12.432927219504863,0.30481071005360505,12.365541,0.2374249486786244,12.399234338817372,0.27111782936611384
