,zpid,homeType,homeStatus,daysOnZillow,priceOutlier,listPrice,streetAddress,zipcode,yearBuilt,bedrooms,bathrooms,livingAreaValue,livingAreaUnits,lotAreaValue,lotAreaUnits,zestimate,latitude,longitude,favoriteCount,pageViewCount,newConstructionType,resoFacts.associationFee,listingSubType.isForeclosure,resoFacts.isSeniorCommunity,resoFacts.propertySubType,hdpUrl,taxAssessedValue,cityId,rentZestimate,restimateHighPercent,restimateLowPercent,mortgageRates.thirtyYearFixedRate,mortgageRates.fifteenYearFixedRate,mortgageRates.arm5Rate,resoFacts.garageSpaces,resoFacts.hasAdditionalParcels,resoFacts.hasAssociation,resoFacts.hasAttachedGarage,resoFacts.hasAttachedProperty,resoFacts.hasGarage,resoFacts.hasPrivatePool,resoFacts.hasSpa,resoFacts.hasView,resoFacts.hasWaterfrontView,resoFacts.taxAnnualAmount,resoFacts.waterViewYN,price/sqft,schoolMaxRating,schoolMinDistance
10,43526728,SINGLE_FAMILY,FOR_SALE,25,0,164900.0,9349 Victoria Dr,32976,1957,3.0,2.0,1145.0,Square Feet,13068.0,Square Feet,152800.0,27.857525,-80.49487,110.0,2174.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/9349-Victoria-Dr-Micco-FL-32976/43526728_zpid/,105740.0,19341.0,1749.0,7.0,20.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2352.0,False,144.0174672489083,6.0,8.7
11,43472653,SINGLE_FAMILY,FOR_SALE,243,0,168500.0,866 Sarno Rd,32935,1957,2.0,1.0,840.0,Square Feet,6098.4,Square Feet,154300.0,28.121761,-80.63253,132.0,2464.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/866-Sarno-Rd-Melbourne-FL-32935/43472653_zpid/,137550.0,19307.0,1500.0,15.0,7.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2143.0,False,200.5952380952381,5.0,0.5
12,43491982,SINGLE_FAMILY,FOR_SALE,119,0,169000.0,3109 Swift St,32901,1958,3.0,1.0,864.0,Square Feet,7405.2,Square Feet,157400.0,28.062632,-80.599464,39.0,1150.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/3109-Swift-St-Melbourne-FL-32901/43491982_zpid/,138420.0,19307.0,1562.0,18.0,14.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2008.0,False,195.60185185185185,3.0,0.3
13,43412200,SINGLE_FAMILY,FOR_SALE,25,0,170000.0,1045 Alamanda Ln,32922,1957,3.0,2.0,1071.0,Square Feet,7840.8,Square Feet,160500.0,28.36998,-80.743385,137.0,2679.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1045-Alamanda-Ln-Cocoa-FL-32922/43412200_zpid/,131800.0,10889.0,1794.0,9.0,8.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2137.0,False,158.73015873015873,2.0,1.6
14,43486826,SINGLE_FAMILY,FOR_SALE,54,0,174000.0,1702 Oak St,32901,1925,2.0,1.0,792.0,Square Feet,6534.0,Square Feet,162200.0,28.08174,-80.61509,31.0,1035.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1702-Oak-St-Melbourne-FL-32901/43486826_zpid/,108580.0,19307.0,1582.0,19.0,9.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1385.0,False,219.6969696969697,5.0,0.7
15,43374602,SINGLE_FAMILY,FOR_SALE,17,0,174900.0,870 Allendale St,32796,1959,3.0,1.0,864.0,Square Feet,6098.4,Square Feet,165300.0,28.626955,-80.85905,67.0,983.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/870-Allendale-St-Titusville-FL-32796/43374602_zpid/,136010.0,7433.0,1370.0,19.0,23.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1703.0,False,202.43055555555554,3.0,0.7
16,43380372,SINGLE_FAMILY,FOR_SALE,53,0,179000.0,230 Country Club Dr,32780,1961,3.0,1.0,828.0,Square Feet,7840.8,Square Feet,168100.0,28.576817,-80.80392,42.0,765.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/230-Country-Club-Dr-Titusville-FL-32780/43380372_zpid/,97440.0,7433.0,1200.0,17.0,5.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1614.0,False,216.18357487922705,6.0,1.1
17,43517006,SINGLE_FAMILY,FOR_SALE,98,1,179000.0,1238 Sanchez St SE,32909,1988,2.0,2.0,1056.0,Square Feet,10454.4,Square Feet,170600.0,27.951279,-80.63621,185.0,5140.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1238-Sanchez-St-SE-Palm-Bay-FL-32909/43517006_zpid/,169360.0,53787.0,1694.0,12.0,14.0,5.874,5.573,5.792,2.0,True,False,False,False,True,False,False,False,False,3223.0,False,169.50757575757575,4.0,1.1
18,43414535,SINGLE_FAMILY,FOR_SALE,259,0,185000.0,205 Coral Way,32922,1954,3.0,2.0,944.0,Square Feet,10890.0,Square Feet,170600.0,28.352814,-80.75449,169.0,2929.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/205-Coral-Way-Cocoa-FL-32922/43414535_zpid/,68940.0,10889.0,1650.0,12.0,9.0,5.874,5.573,5.792,1.0,True,False,False,False,True,False,False,False,False,1274.0,False,195.97457627118644,3.0,1.1
19,43491373,SINGLE_FAMILY,FOR_SALE,38,0,185000.0,610 Walker St,32901,1959,3.0,1.0,832.0,Square Feet,4791.6,Square Feet,174300.0,28.065056,-80.610275,73.0,1651.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/610-Walker-St-Melbourne-FL-32901/43491373_zpid/,57560.0,19307.0,1575.0,14.0,14.0,5.874,5.573,5.792,1.0,True,False,False,False,True,False,False,False,False,1115.0,False,222.35576923076923,5.0,0.4
