,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zipcode,zpid,listing_sub_type.is_newHome,zestimate,listing_sub_type.is_FSBA,listing_sub_type.is_comingSoon,datePriceChanged,group_type,priceChange,priceReduction,priceSuffix,providerListingID,unit,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,listing_sub_type.is_bankOwned
375,3.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/82437c2bd07170e45fc44760c9aa969c-p_e.jpg,False,True,False,False,False,False,False,28.235674,1697.0,-80.72679,sqft,3484.8,,529900.0,529900.0,2786.0,False,FL,7155 Primavera Ln,409690.0,781279000.0,32940,123863302,,516900.0,True,,,,,,,,,,,,,
376,2.0,4.0,Cocoa,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6575a04d66d85fa4aa9431745321b8a9-p_e.jpg,False,True,False,False,False,False,False,28.399984,1216.0,-80.77779,sqft,7405.2,,334900.0,334900.0,2025.0,False,FL,3684 N Sherwood Cir,231710.0,782742000.0,32926,43400580,,328200.0,True,,,,,,,,,,,,,
377,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/12f9c035416d2e9ff4f7b0c9f093f880-p_e.jpg,False,True,False,False,False,False,False,27.990873,1349.0,-80.69096,acres,0.25,,315000.0,315000.0,,False,FL,716 Walmsley St SW,206110.0,783396000.0,32908,54619993,,,True,,,,,,,,,,,,,
378,2.0,4.0,Cocoa Beach,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/33fb821c33fc321f76a4273982230e48-p_e.jpg,False,True,False,False,False,False,False,28.363556,1454.0,-80.60866,sqft,10018.8,,780000.0,780000.0,,False,FL,131 W Pasco Ln,462380.0,785381000.0,32931,43422154,,,True,,,,,,,,,,,,,
379,2.0,3.0,Cocoa,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ae68e542bd7009a7afc538f58faf2e5c-p_e.jpg,False,True,False,False,False,False,False,28.486101,1319.0,-80.77922,sqft,7405.2,,359900.0,359900.0,,False,FL,255 Capron Rd,254750.0,785558000.0,32927,43388354,,,True,,,,,,,,,,,,,
380,4.0,5.0,West Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5302c780945560e6b0b37b38d588b62b-p_e.jpg,False,True,False,False,False,False,False,28.052254,3408.0,-80.6881,acres,0.25,,730000.0,730000.0,3953.0,False,FL,3230 Salt Marsh Cir,588420.0,785558000.0,32904,251162778,,717400.0,True,,,,,,,,,,,,,
381,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/772e693264966b6e816051c8c5706c5a-p_e.jpg,False,True,False,False,False,False,False,27.992706,1640.0,-80.70769,sqft,10018.8,,324900.0,324900.0,1999.0,False,FL,1274 Danforth St SW,232820.0,785558000.0,32908,71023725,,322400.0,True,,,,,,,,,,,,,
382,4.0,4.0,Cocoa,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ef4cf8b2500dc12ce38fef567d037b4d-p_e.jpg,False,True,False,False,False,False,False,28.388847,1486.0,-80.76117,sqft,8712.0,,329900.0,329900.0,1947.0,False,FL,2106 Michigan Ave,160330.0,786073000.0,32926,43407298,,322500.0,True,,,,,,,,,,,,,
383,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/02195a7447352d25d92a79625e6bbfd8-p_e.jpg,False,True,False,False,False,False,False,28.082066,1504.0,-80.626396,acres,0.25,,298400.0,298400.0,,False,FL,1700 Glendon Dr,133800.0,788181000.0,32901,53160294,,,,True,,,,,,,,,,,,
384,2.0,2.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cf5bd7c176c530487dbbfaa3ad57225b-p_e.jpg,False,True,False,False,False,False,False,27.983053,898.0,-80.65566,sqft,10018.8,,260000.0,260000.0,,False,FL,639 Andrew St SE,158890.0,788717000.0,32909,43512972,,,True,,,,,,,,,,,,,
385,3.0,4.0,West Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ea23a87e33210e73537680a9c1d8a3c1-p_e.jpg,False,True,False,False,False,False,False,28.055195,2664.0,-80.69236,sqft,6534.0,,629900.0,629900.0,2850.0,False,FL,4646 Broomsedge Cir,433050.0,789699000.0,32904,251163508,,618800.0,True,,,,,,,,,,,,,
386,2.0,4.0,Malabar,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d4b62069b3f170d3d51d7fdfa2c6f4b4-p_e.jpg,False,True,False,False,False,False,False,28.005823,2389.0,-80.57159,acres,1.81,,535000.0,535000.0,2843.0,False,FL,2480 Johnston Ave,334080.0,790867000.0,32950,43508667,,523800.0,True,,,,,,,,,,,,,
387,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/34999f448d663634ba30a6987e19eb48-p_e.jpg,False,True,False,False,False,False,False,28.153336,1583.0,-80.67368,sqft,9147.6,,375000.0,375000.0,,False,FL,3096 Woodsmill Dr,293300.0,794268000.0,32934,43455106,,,True,,,,,,,,,,Sat. 1-3pm,True,"[{'open_house_end': 1708210800000, 'open_house_start': 1708203600000}]",
388,2.0,4.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f40dea947c417a2698a76362f739862c-p_e.jpg,False,True,False,False,False,False,False,27.956448,1787.0,-80.68178,sqft,10018.8,BUILDER_SPEC,369900.0,369900.0,1984.0,False,FL,427 Flat River St SW,22000.0,796974000.0,32908,104121775,True,355800.0,,,,,,,,,,,,,,
389,2.0,3.0,Merritt Island,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2c5c4c4ea182061af3c670b834b72e95-p_e.jpg,False,True,False,False,False,False,False,28.363178,1327.0,-80.67301,sqft,9147.6,,649000.0,649000.0,2194.0,False,FL,1370 Glen Haven Dr,421380.0,800738000.0,32952,43422903,,,True,,,,,,,,,,,,,
390,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1829131fb83f46e7d0b9a46508abfa16-p_e.jpg,False,True,False,True,False,False,False,28.213371,1731.0,-80.733665,,,BUILDER_PLAN,438900.0,438900.0,2934.0,False,FL,"Monterey II Plan, Avalonia",,804387000.0,32940,2056536427,True,424000.0,,,1699689600000.0,BUILDER_COMMUNITY,1000.0,,+,29419002,# SCYB8R,,,,,
391,2.0,4.0,Titusville,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/603c0f8285fa419666013dac40724520-p_e.jpg,False,True,False,False,False,False,False,28.559986,1400.0,-80.80577,sqft,6534.0,,335000.0,335000.0,1920.0,False,FL,4480 Osceola Rd,232560.0,821461000.0,32780,71030037,,324900.0,True,,,,,,,,,,,,,
392,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5b776c7d2a40a6438b92a20fe2958835-p_e.jpg,False,True,False,False,False,False,False,28.001572,2038.0,-80.65665,sqft,10018.8,,389999.0,389999.0,2100.0,False,FL,158 Donald Ave NE,336020.0,821461000.0,32907,104124326,,380600.0,True,,,,,,,,,,Sun. 11am-3pm,True,"[{'open_house_end': 1707692400000, 'open_house_start': 1707678000000}]",
393,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0a010e035179b754599bc1488a14dcaa-p_e.jpg,False,True,False,True,False,False,False,28.003277,1760.0,-80.74045,,,BUILDER_PLAN,392900.0,392900.0,2194.0,False,FL,"Ashton Plan, St. Johns Preserve",,827909000.0,32907,2059416154,True,385300.0,,,1705219200000.0,BUILDER_COMMUNITY,5000.0,,+,29299335,# HAPFZ1,,,,,
394,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/088e8953f5c23bff489cf52675e2927e-p_e.jpg,False,True,False,False,False,False,False,28.21116,2185.0,-80.69557,sqft,8712.0,,695000.0,695000.0,3739.0,False,FL,816 Spanish Cove Dr,459100.0,836410000.0,32940,43444117,,673400.0,True,,,,,,,,,,,,,
395,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb80df6790a3caefb6c6c1471bbef50f-p_e.jpg,False,True,False,False,False,False,False,28.031866,1500.0,-80.70649,acres,0.63,,374777.0,374777.0,,False,FL,162 Emerson Dr NW,299300.0,836813000.0,32907,43479715,,,True,,1707465600000.0,,-20000.0,"$20,000 (Feb 9)",,,,,,,,
396,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/296ef1019d1f35bf3293732b8feec219-p_e.jpg,False,True,False,False,False,False,False,28.23246,1523.0,-80.74967,sqft,5662.8,,389900.0,389900.0,2400.0,False,FL,7163 Halleck St,301390.0,836996000.0,32940,104071373,,377100.0,True,,,,,,,,,,,,,
397,2.0,4.0,Rockledge,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ba10b646c6b06dabf6b65488e80f23eb-p_e.jpg,False,True,False,False,False,False,False,28.299204,2131.0,-80.71981,sqft,8712.0,,519900.0,519900.0,2529.0,False,FL,552 Glenbrook Cir,450170.0,841287000.0,32955,104115254,,,True,,1706860800000.0,,-18100.0,"$18,100 (Feb 2)",,,,,,,,
398,2.0,3.0,West Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f1cf1e5e7117fae4777c7e267366bc59-p_e.jpg,False,True,False,False,False,False,False,28.067455,1948.0,-80.64869,sqft,3484.8,,415000.0,415000.0,,False,FL,653 Brockton Way,322300.0,842394000.0,32904,60341269,,,True,,,,,,,,,,,,,
399,2.0,4.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e160e8d0e1b7040d8d9e280104d26008-p_e.jpg,False,True,False,False,False,False,False,27.981958,1787.0,-80.690865,sqft,10018.8,BUILDER_SPEC,369900.0,369900.0,1886.0,False,FL,741 Damascus Ave SW,22000.0,842394000.0,32908,104130098,True,355000.0,,,,,,,,,,,,,,
400,2.0,4.0,Satellite Beach,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/63a43d20704856d6a0c21297cef4628f-p_e.jpg,False,True,False,False,False,False,False,28.168608,2061.0,-80.59663,acres,0.33999999999999997,,749900.0,749900.0,3517.0,False,FL,390 Cherry Dr,518080.0,844271000.0,32937,43458954,,735600.0,True,,1707552000000.0,,-25100.0,"$25,100 (Feb 10)",,,,,,,,
