,zpid,homeType,homeStatus,dateSoldString,daysOnZillow,priceOutlier,price,streetAddress,zipcode,yearBuilt,bathrooms,bedrooms,livingAreaValue,livingAreaUnits,lotAreaValue,lotAreaUnits,zestimate,latitude,longitude,favoriteCount,pageViewCount,newConstructionType,resoFacts.associationFee,listingSubType.isForeclosure,resoFacts.isSeniorCommunity,resoFacts.propertySubType,hdpUrl,taxAssessedValue,cityId,rentZestimate,restimateHighPercent,restimateLowPercent,mortgageRates.thirtyYearFixedRate,mortgageRates.fifteenYearFixedRate,mortgageRates.arm5Rate,resoFacts.garageSpaces,resoFacts.hasAdditionalParcels,resoFacts.hasAssociation,resoFacts.hasAttachedGarage,resoFacts.hasAttachedProperty,resoFacts.hasGarage,resoFacts.hasPrivatePool,resoFacts.hasSpa,resoFacts.hasView,resoFacts.hasWaterfrontView,resoFacts.taxAnnualAmount,resoFacts.waterViewYN,price/sqft,schoolMaxRating,schoolMinDistance
10,43497564,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-09,5,0,210000.0,741 Atlanta Ave NE,32905,1968,2.0,3.0,1439.0,Square Feet,8712.0,Square Feet,210000.0,28.01491,-80.5859,50.0,654.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/741-Atlanta-Ave-NE-Palm-Bay-FL-32905/43497564_zpid/,217370.0,53787.0,1800.0,6.0,6.0,6.068,5.904,5.783,1.0,True,False,False,False,True,True,False,False,False,1787.0,False,145.9346768589298,3.0,3.0
11,43510026,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-09,5,0,250000.0,795 Harper Blvd SW,32908,1988,2.0,3.0,1344.0,Square Feet,11761.2,Square Feet,250000.0,27.98087,-80.692726,1.0,70.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/795-Harper-Blvd-SW-Palm-Bay-FL-32908/43510026_zpid/,194960.0,53787.0,1855.0,5.0,5.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,645.0,False,186.01190476190476,6.0,0.5
12,52273974,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-09,5,0,225000.0,1015 Montclair Rd,32922,1961,1.0,3.0,1084.0,Square Feet,8712.0,Square Feet,217600.0,28.370848,-80.75069,10.0,215.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1015-Montclair-Rd-Cocoa-FL-32922/52273974_zpid/,119740.0,10889.0,1761.0,5.0,8.0,6.068,5.904,5.783,0.0,False,False,False,False,False,False,False,False,False,1561.0,False,207.56457564575646,2.0,1.2
13,43407117,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-08,6,0,210000.0,2443 Clearlake Rd,32922,1957,1.0,3.0,1124.0,Square Feet,12196.799999999996,Square Feet,210100.0,28.39143,-80.75539,17.0,366.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2443-Clearlake-Rd-Cocoa-FL-32922/43407117_zpid/,113900.0,10889.0,1749.0,6.0,6.0,6.068,5.904,5.783,0.0,True,False,False,False,False,False,False,True,False,1477.0,False,186.83274021352312,4.0,0.9
14,43514322,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-08,6,0,245000.0,1463 Leeward Ave SE,32909,1983,1.0,2.0,1098.0,Square Feet,10018.8,Square Feet,250600.0,27.960478,-80.63123,0.0,76.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1463-Leeward-Ave-SE-Palm-Bay-FL-32909/43514322_zpid/,140130.0,53787.0,1734.0,13.0,15.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,587.0,False,223.13296903460838,4.0,0.6
15,52397458,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-08,6,0,250000.0,2089 Redwood Cir NE,32905,2001,2.0,3.0,1292.0,Square Feet,0.0,Square Feet,250100.0,28.021122,-80.60832,5.0,292.0,False,150.0,False,False,Single Family Residence,www.zillow.com/homedetails/2089-Redwood-Cir-NE-Palm-Bay-FL-32905/52397458_zpid/,248050.0,53787.0,1933.0,15.0,11.0,6.068,5.904,5.783,2.0,False,True,True,True,True,False,False,True,False,3013.0,False,193.4984520123839,3.0,2.0
16,43378964,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-07,7,0,220000.0,2000 White Sands Dr,32780,1965,2.0,4.0,1635.0,Square Feet,9147.6,Square Feet,220000.0,28.591688,-80.818275,27.0,750.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2000-White-Sands-Dr-Titusville-FL-32780/43378964_zpid/,180910.0,7433.0,2100.0,5.0,7.0,6.068,5.904,5.783,2.0,True,False,False,False,True,False,False,False,False,628.0,False,134.5565749235474,4.0,1.6
17,43491371,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-07,358,0,181000.0,506 Walker St,32901,1964,2.0,3.0,1789.0,Square Feet,16116.999999999998,Square Feet,181000.0,28.065094,-80.6124,2.0,202.0,False,0.0,True,False,Single Family Residence,www.zillow.com/homedetails/506-Walker-St-Melbourne-FL-32901/43491371_zpid/,121020.0,19307.0,2494.0,23.0,19.0,6.068,5.904,5.783,2.0,False,False,True,False,True,False,False,False,False,1878.0,False,101.17384013415315,5.0,0.6
18,43483197,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-06,8,0,249000.0,1066 Heath Ave NW,32907,1984,2.0,3.0,1324.0,Square Feet,10454.4,Square Feet,249100.0,28.025282,-80.70967,6.0,130.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1066-Heath-Ave-NW-Palm-Bay-FL-32907/43483197_zpid/,232830.0,53787.0,1900.0,5.0,5.0,6.068,5.904,5.783,2.0,True,False,False,False,True,False,False,False,False,4146.0,False,188.06646525679758,5.0,0.6
19,52640731,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-06,8,0,184000.0,2809 Hessey Ave NE,32905,1956,3.0,3.0,1715.0,Square Feet,36154.8,Square Feet,184000.0,28.036295,-80.588135,6.0,277.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2809-Hessey-Ave-NE-Palm-Bay-FL-32905/52640731_zpid/,163470.0,53787.0,2723.0,17.0,35.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,2527.0,False,107.28862973760933,3.0,2.0
